"","iri","label","type","parentlabel","category","definition","min","max","average","upper_quartile","lower_quartile","number_distinct_values","distinct_values","variable"
"710","EUPATH_0011519","Polio serotype 3 titer, by microneutralization result","number","Raw antibody titer test result","Sample","Polio Serotype 3 titer, by microneutralization. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","4","1024",522.436843684369,"1024","80",37,"","vax_and_titer_wdates::vrfpolser3tit"
"712","EUPATH_0011522","Measles titer (IU/L), by ELISA result","number","Raw antibody titer test result","Sample","Measles titer (IU/L), by ELISA. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","0","22883",645.830998509687,"534","36",1135,"","vax_and_titer_wdates::vrfmeastit"
"921","EUPATH_0011933","Bacille Calmette-Guerin (BCG) vaccine dose #","number","Immunization and prevention","Observation","Bacille Calmette-Guerin (BCG) vaccine dose #, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","2",1.00778210116732,"1","1",2,"","rearrangedVax::bcg_dosenum"
"922","EUPATH_0011934","Cholera vaccine dose #","number","Immunization and prevention","Observation","Cholera vaccine dose #, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","2",1.46666666666667,"2","1",2,"","rearrangedVax::cho_dosenum"
"923","EUPATH_0011935","Deworming treatment #","number","Immunization and prevention","Observation","Deworming treatment #, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","3",1.19230769230769,"1","1",3,"","rearrangedVax::deworm_dosenum"
"924","EUPATH_0011936","Diphtheria, pertussis, and tetanus (DPT) vaccine dose #","number","Immunization and prevention","Observation","Diphtheria, pertussis, and tetanus (DPT) vaccine dose #, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","6",2.17183320220299,"3","1",6,"","rearrangedVax::dpt_dosenum"
"925","EUPATH_0011937","Haemophilus influenzae type B vaccine dose #","number","Immunization and prevention","Observation","Haemophilus influenzae type B vaccine dose #, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","5",2.06123188405797,"3","1",5,"","rearrangedVax::hib_dosenum"
"926","EUPATH_0011938","Hepatitis B vaccine dose #","number","Immunization and prevention","Observation","Hepatitis B vaccine dose #, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","5",2.04159733777038,"3","1",5,"","rearrangedVax::hepb_dosenum"
"927","EUPATH_0011939","Inactivated poliovirus vaccine (IPV) dose #","number","Immunization and prevention","Observation","Inactivated Poliovirus (IPV) vaccine dose #, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","5",2.22455752212389,"3","1",5,"","rearrangedVax::ipv_dosenum"
"928","EUPATH_0011940","Influenza vaccine dose #","number","Immunization and prevention","Observation","Influenza vaccine dose #, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","5",1.8406976744186,"2","1",5,"","rearrangedVax::flu_dosenum"
"929","EUPATH_0011941","Japanese encephalitis vaccine dose #","number","Immunization and prevention","Observation","Japanese encephalitis vaccine dose #, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","1",1,"1","1",1,"","rearrangedVax::je_dosenum"
"930","EUPATH_0011942","Measles vaccine dose #","number","Immunization and prevention","Observation","Measles vaccine dose #, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","5",1.55507773734701,"2","1",5,"","rearrangedVax::mea_dosenum"
"931","EUPATH_0011943","Measles, mumps, and rubella (MMR) vaccine dose #","number","Immunization and prevention","Observation","Measles, mumps, and rubella (MMR) vaccine dose #, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","5",1.2669220945083,"1","1",5,"","rearrangedVax::mmr_dosenum"
"932","EUPATH_0011944","Meningitis vaccine dose #","number","Immunization and prevention","Observation","Meningitis vaccine dose #, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","3",1.63185378590078,"2","1",3,"","rearrangedVax::men_dosenum"
"933","EUPATH_0011945","Mumps vaccine dose #","number","Immunization and prevention","Observation","Mumps vaccine dose #, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","4",1.22486772486773,"1","1",4,"","rearrangedVax::mum_dosenum"
"934","EUPATH_0011946","Oral poliovirus vaccine (OPV) dose #","number","Immunization and prevention","Observation","Oral Poliovirus (OPV) vaccine dose #, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","38",8.68746081504702,"13","2",38,"","rearrangedVax::opv_dosenum"
"935","EUPATH_0011947","Pneumococcal conjugate vaccine (PCV) dose #","number","Immunization and prevention","Observation","Pneumococcal conjugate (PCV) vaccine dose #, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","4",1.94016674840608,"3","1",4,"","rearrangedVax::pcv_dosenum"
"936","EUPATH_0011948","Rabies vaccine dose #","number","Immunization and prevention","Observation","Rabies vaccine dose #, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","5",2.06666666666667,"3","1",5,"","rearrangedVax::rab_dosenum"
"937","EUPATH_0011949","Rotavirus vaccine dose #","number","Immunization and prevention","Observation","Rotavirus vaccine dose #, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","3",1.46802529866479,"2","1",3,"","rearrangedVax::rota_dosenum"
"938","EUPATH_0011950","Rubella vaccine dose #","number","Immunization and prevention","Observation","Rubella vaccine dose #, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","5",1.3448275862069,"2","1",5,"","rearrangedVax::rub_dosenum"
"939","EUPATH_0011951","Tetanus vaccine dose #","number","Immunization and prevention","Observation","Tetanus vaccine dose #, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","9",2.179563647779,"3","1",9,"","rearrangedVax::teta_dosenum"
"940","EUPATH_0011952","Total cholera vaccine doses","number","Aggregated immunization and prevention data","Participant","Total cholera vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","2",1.875,"2","2",2,"","aggregatedVax::chodosen"
"941","EUPATH_0011953","Typhoid vaccine dose #","number","Immunization and prevention","Observation","Typhoid vaccine dose #, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","1",1,"1","1",1,"","rearrangedVax::typ_dosenum"
"942","EUPATH_0011954","Varicella vaccine dose #","number","Immunization and prevention","Observation","Varicella vaccine dose #, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","1",1,"1","1",1,"","rearrangedVax::cpox_dosenum"
"943","EUPATH_0011955","Vitamin A supplementation #","number","Immunization and prevention","Observation","Vitamin A supplementation #, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","6",1.84809027777778,"2","1",6,"","rearrangedVax::vita_dosenum"
"944","EUPATH_0011956","Yellow fever vaccine dose #","number","Immunization and prevention","Observation","Yellow fever vaccine dose #, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","1",1,"1","1",1,"","rearrangedVax::yf_dosenum"
"947","EUPATH_0011959","Virus in stool","multifilter","Stool microbiology test","","Detection of the following viruses in stool samples. Any positive Rotavirus test result within 28 days of Rotavirus vaccination was changed to be a negative result. Work up for detection of enteric pathogens was performed on diarrheal stool samples collected until 24 months of age (with a possible extension to 36 months of age) and first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).","","",NA,"","",NA,"",NA
"978","EUPATH_0011993","Rotavirus (post-vax corrected), by ELISA","string","Rotavirus in stool","Sample","Whether Rotavirus was detected by ELISA for this stool sample. Any positive Rotavirus test result within 28 days of Rotavirus vaccination was changed to be a negative result. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).","","",NA,"","",2,"No|Yes","micro_x::rota"
"1016","EUPATH_0015366","Rotavirus Ct value, by TAC result","number","Raw virus data for stool","Sample","Cycle threshold for this stool sample to become positive for Rotavirus by TaqMan Array Card (TAC). This variable does not correct for positive results (Ct <35) due to Rotavirus vaccination. Ct values of 35 were negative. Quantitative PCR for detection of enteric pathogens via TAC was performed on all available diarrheal and monthly asymptomatic stool samples collected from 0-24 months and at 60 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","11.55","35",34.7032638758672,"35","35",2169,"","tac::rotavirus_postrv,tac_60m_updated::rotavirus_old"
